ID,Data_Text,Result
1,วันนี้ผมมาตรวจสุขภาพ,ตรวจสุขภาพ
2,ผมมาตรวจร่างกายคับ,ตรวจสุขภาพ
3,มาตรวจสุขภาพร่างกาย,ตรวจสุขภาพ
4,ตรวจสุขภาพร่างกาย,ตรวจสุขภาพ
5,มาเช็คสุขภาพร่างกายครับ,ตรวจสุขภาพ
6,มาตรวจสุขภาพ,ตรวจสุขภาพ
7,มาตรวจร่างกาย,ตรวจสุขภาพ
8,มาตรวจสุขภาพร่างกาย,ตรวจสุขภาพ
9,มาตรวจการทำงานในร่างกาย,ตรวจสุขภาพ
10,มาตรวจระบบในร่างกาย,ตรวจสุขภาพ
11,มาตรวจการทำงานของร่างกาย,ตรวจสุขภาพ
12,มาตรวจระบบการทำงานของร่างกาย,ตรวจสุขภาพ
13,มาตรวจระบบภายใน,ตรวจสุขภาพ
14,มาตรวจภายในร่างกาย,ตรวจสุขภาพ
15,มาตรวจระบบภายในร่างกาย,ตรวจสุขภาพ
16,มาตรวจภายใน,ตรวจสุขภาพ
17,มาตรวจลักษณะร่างกาย,ตรวจสุขภาพ
18,มาตรวจคุณภาพร่างกาย,ตรวจสุขภาพ
19,มาตรวจคุณภาพระบบร่างกาย,ตรวจสุขภาพ
20,ตรวจสุขภาพ,ตรวจสุขภาพ
21,ตรวจร่างกาย,ตรวจสุขภาพ
22,ตรวจสุขภาพร่างกาย,ตรวจสุขภาพ
23,ตรวจการทำงานในร่างกาย,ตรวจสุขภาพ
24,ตรวจระบบในร่างกาย,ตรวจสุขภาพ
25,ตรวจการทำงานของร่างกาย,ตรวจสุขภาพ
26,ตรวจระบบการทำงานของร่างกาย,ตรวจสุขภาพ
27,ตรวจระบบภายใน,ตรวจสุขภาพ
28,ตรวจภายในร่างกาย,ตรวจสุขภาพ
29,ตรวจระบบภายในร่างกาย,ตรวจสุขภาพ
30,ตรวจภายใน,ตรวจสุขภาพ
31,ตรวจลักษณะร่างกาย,ตรวจสุขภาพ
32,ตรวจคุณภาพร่างกาย,ตรวจสุขภาพ
33,ตรวจคุณภาพระบบร่างกาย,ตรวจสุขภาพ
34,เช็คสุขภาพ,ตรวจสุขภาพ
35,เช็คร่างกาย,ตรวจสุขภาพ
36,เช็คสุขภาพร่างกาย,ตรวจสุขภาพ
37,เช็คการทำงานในร่างกาย,ตรวจสุขภาพ
38,เช็คระบบในร่างกาย,ตรวจสุขภาพ
