data,output
ใช่,ใช่
ใช่ครับ,ใช่
ใช่ค่ะ,ใช่
ใช่นะ,ใช่
ใช่คับ,ใช่
ใช่นะคะ,ใช่
ใช่นะจ๊ะ,ใช่
ใช่จ้า,ใช่
ใช่ละ,ใช่
ใช่ว่ะ,ใช่
ใช่จ้ะ,ใช่
ใช่จ๊ะ,ใช่
แน่นอน,ใช่
แน่นอนครับ,ใช่
แน่นอนค่ะ,ใช่
แน่นอนนะ,ใช่
แน่นอนคับ,ใช่
แน่นอนนะคะ,ใช่
แน่นอนนะจ๊ะ,ใช่
แน่นอนจ้า,ใช่
แน่นอนละ,ใช่
แน่นอนว่ะ,ใช่
แน่นอนจ้ะ,ใช่
แน่นอนจ๊ะ,ใช่
ดี,ใช่
ดีครับ,ใช่
ดีค่ะ,ใช่
ดีนะ,ใช่
ดีคับ,ใช่
ดีนะคะ,ใช่
ดีนะจ๊ะ,ใช่
ดีจ้า,ใช่
ดีละ,ใช่
ดีว่ะ,ใช่
ดีจ้ะ,ใช่
ดีจ๊ะ,ใช่
ถูก,ใช่
ถูกครับ,ใช่
ถูกค่ะ,ใช่
ถูกนะ,ใช่
ถูกคับ,ใช่
ถูกนะคะ,ใช่
ถูกนะจ๊ะ,ใช่
ถูกจ้า,ใช่
ถูกละ,ใช่
ถูกว่ะ,ใช่
ถูกจ้ะ,ใช่
ถูกจ๊ะ,ใช่
โอเคร,ใช่
โอเครครับ,ใช่
โอเครค่ะ,ใช่
โอเครนะ,ใช่
โอเครคับ,ใช่
โอเครนะคะ,ใช่
โอเครนะจ๊ะ,ใช่
โอเครจ้า,ใช่
โอเครละ,ใช่
โอเครว่ะ,ใช่
โอเครจ้ะ,ใช่
โอเครจ๊ะ,ใช่
ชอบ,ใช่
ชอบครับ,ใช่
ชอบค่ะ,ใช่
ชอบนะ,ใช่
ชอบคับ,ใช่
ชอบนะคะ,ใช่
ชอบนะจ๊ะ,ใช่
ชอบจ้า,ใช่
ชอบละ,ใช่
ชอบว่ะ,ใช่
ชอบจ้ะ,ใช่
ชอบจ๊ะ,ใช่
เก่ง,ใช่
เก่งครับ,ใช่
เก่งค่ะ,ใช่
เก่งนะ,ใช่
เก่งคับ,ใช่
เก่งนะคะ,ใช่
เก่งนะจ๊ะ,ใช่
เก่งจ้า,ใช่
เก่งละ,ใช่
เก่งว่ะ,ใช่
เก่งจ้ะ,ใช่
เก่งจ๊ะ,ใช่
ได้,ใช่
ได้ครับ,ใช่
ได้ค่ะ,ใช่
ได้นะ,ใช่
ได้คับ,ใช่
ได้นะคะ,ใช่
ได้นะจ๊ะ,ใช่
ได้จ้า,ใช่
