ID,DATA,DIALOG,CLASS,,
1,อุณหภูมิในร่างกายเพิ่มสูงขึ้นมากกว่าอุณหภูมิปกติ,1,ไข้,,
2,อุณหภูมิปกติของร่างกายสูง,1,ไข้,,
3,มีไข้ หนาวสั่น ครั่นเนื้อครั่นตัว,1,ไข้,,
4,มีไข้ ตัวร้อน หนาวสั่น ครั่นเนื้อครั่นตัว,1,ไข้,,
5,ตัวร้อน หนาวสั่น ครั่นเนื้อครั่นตัว,1,ไข้,,
6,มีไข้มากกว่า 37.5 องศา,1,ไข้,,
7,มีไข้ 39.4 องศา,1,ไข้,,
8,มีไข้มากกว่า 38.5 องศา,1,ไข้,,
9,มีไข้มากกว่า 38.0 องศา,1,ไข้,,
10,มีไข้มากกว่า 37.9 องศา,1,ไข้,,
11,มีไข้มากกว่า 37.5 องศา,1,ไข้,,
12,มีไข้ 39.4 องศาเซลเซียล,1,ไข้,,
13,มีไข้มากกว่า 38.5 องศาเซลเซียล,1,ไข้,,
14,มีไข้มากกว่า 38.0 องศาเซลเซียล,1,ไข้,,
15,มีไข้มากกว่า 37.9 องศาเซลเซียล,1,ไข้,,
16,ตัวร้อนมากกว่า 37.5 องศา,1,ไข้,,
17,ตัวร้อน 39.4 องศา,1,ไข้,,
18,ตัวร้อนมากกว่า 38.5 องศา,1,ไข้,,
19,ตัวร้อนมากกว่า 38.0 องศา,1,ไข้,,
20,ตัวร้อนมากกว่า 37.9 องศา,1,ไข้,,
21,ตัวร้อนมากกว่า 37.5 องศา,1,ไข้,,
22,ตัวร้อน 39.4 องศาเซลเซียล,1,ไข้,,
23,ตัวร้อนมากกว่า 38.5 องศาเซลเซียล,1,ไข้,,
24,ตัวร้อนมากกว่า 38.0 องศาเซลเซียล,1,ไข้,,
25,ตัวร้อนมากกว่า 37.9 องศาเซลเซียล,1,ไข้,,
26,ตัวร้อนมีไข้มากกว่า 37.5 องศา,1,ไข้,,
27,ตัวร้อนมีไข้ 39.4 องศา,1,ไข้,,
28,ตัวร้อนมีไข้มากกว่า 38.5 องศา,1,ไข้,,
29,ตัวร้อนมีไข้มากกว่า 38.0 องศา,1,ไข้,,
30,ตัวร้อนมีไข้มากกว่า 37.9 องศา,1,ไข้,,
31,ตัวร้อนมีไข้มากกว่า 37.5 องศา,1,ไข้,,
32,ตัวร้อนมีไข้ 39.4 องศาเซลเซียล,1,ไข้,,
33,ตัวร้อนมีไข้มากกว่า 38.5 องศาเซลเซียล,1,ไข้,,
34,ตัวร้อนมีไข้มากกว่า 38.0 องศาเซลเซียล,1,ไข้,,
35,ตัวร้อนมีไข้มากกว่า 37.9 องศาเซลเซียล,1,ไข้,,
36,มีไข้ตัวร้อนมากกว่า 37.5 องศา,1,ไข้,,
37,มีไข้ตัวร้อน 39.4 องศา,1,ไข้,,
38,มีไข้ตัวร้อนมากกว่า 38.5 องศา,1,ไข้,,
39,มีไข้ตัวร้อนมากกว่า 38.0 องศา,1,ไข้,,
40,มีไข้ตัวร้อนมากกว่า 37.9 องศา,1,ไข้,,
41,มีไข้ตัวร้อนมากกว่า 37.5 องศา,1,ไข้,,
42,มีไข้ตัวร้อน 39.4 องศาเซลเซียล,1,ไข้,,
43,มีไข้ตัวร้อนมากกว่า 38.5 องศาเซลเซียล,1,ไข้,,
44,มีไข้ตัวร้อนมากกว่า 38.0 องศาเซลเซียล,1,ไข้,,
45,มีไข้ตัวร้อนมากกว่า 37.9 องศาเซลเซียล,1,ไข้,,
46,อาการตัวร้อน,1,ไข้,,
47,มีอาการตัวร้อน,1,ไข้,,
48,มีอาการมีไข้,1,ไข้,,
49,อาการมีไข้,1,ไข้,,
50,ตัวร้อนมีไข้,1,ไข้,,
51,เป็นไข้,1,ไข้,,
52,มีไข้,1,ไข้,,
53,ตัวร้อน,1,ไข้,,
54,ป่วยมีไข้,1,ไข้,,
55,ป่วยตัวร้อน,1,ไข้,,
56,ผมตัวร้อน,1,ไข้,,
57,ฉันตัวร้อน,1,ไข้,,
58,ดิฉันตัวร้อนเป็นไข้,1,ไข้,,
59,อุณหภูมิร่างกายสูง,1,ไข้,,
60,อุณหภูมิสูง,1,ไข้,,
61,ตัวร้อน อุณหภูมิสูง,1,ไข้,,
62,มีไข้มากกว่า 37 องศา,1,ไข้,,
63,ตัวร้อน 39 องศาเซลเซียล,1,ไข้,,
64,ตัวร้อน มีไข้,1,ไข้,,
65,มีไข้ ตัวร้อน,1,ไข้,,
66,มีไข้ตัวร้อน,1,ไข้,,
67,อุณหภูมิร่างกายสูงกว่าค่าปกติ,1,ไข้,,
68,อุณหภูมิที่วัดที่ทวารหนักเท่ากับหรือสูงกว่า,1,ไข้,,
69,อุณหภูมิที่วัดที่ช่องปากเท่ากับหรือสูงกว่า 37.7,1,ไข้,,
70,อุณหภูมิที่วัดที่ทวารหนักเท่ากับหรือสูงกว่า 37.5–38.3,1,ไข้,,
71,อุณหภูมิที่วัดที่รักแร้หรือในรูหูเท่ากับหรือสูงกว่า 37.2,1,ไข้,,
72,ไข้เป็นๆ หายๆ,1,ไข้,,
73,ไข้ไม่สร่าง,1,ไข้,,
74,ไข้สูงลอย,1,ไข้,,
75,ไข้แกว่ง,1,ไข้,,
76,เป็นไข้ที่เกิดจากไม่มีการทำงานของระบบภูมิคุ้มกันปกติ,1,ไข้,,
77,ไข้เหตุนิวโตรฟิลในเลือดต่ำ,1,ไข้,,
78,ไข้สูงเกิน,1,ไข้,,
79,ผมอาการตัวร้อน,1,ไข้,,
80,ผมมีอาการตัวร้อน,1,ไข้,,
81,เรามีอาการมีไข้,1,ไข้,,
82,ฉันอาการมีไข้,1,ไข้,,
83,ดิฉันตัวร้อนมีไข้,1,ไข้,,
84,กระผมเป็นไข้,1,ไข้,,
85,เรามีไข้,1,ไข้,,
86,เราตัวร้อน,1,ไข้,,
87,มันป่วยมีไข้,1,ไข้,,
88,กูป่วยตัวร้อน,1,ไข้,,
89,ข้าตัวร้อน,1,ไข้,,
90,ข้าพเจ้าตัวร้อน,1,ไข้,,
91,ดิฉันตัวร้อนเป็นไข้,1,ไข้,,
92,เราอุณหภูมิร่างกายสูง,1,ไข้,,
93,ผมอุณหภูมิสูง,1,ไข้,,
94,ผมตัวร้อน อุณหภูมิสูง,1,ไข้,,
95,ผมมีไข้มากกว่า 37 องศา,1,ไข้,,
96,ตัวร้อน 40 องศาเซลเซียล,1,ไข้,,
97,เราตัวร้อน มีไข้,1,ไข้,,
98,ดิฉันมีไข้ ตัวร้อน,1,ไข้,,
99,กระผมมีไข้ตัวร้อน,1,ไข้,,
100,เนื่องจากอุณหภูมิปกติของร่างกายแปรผันได้หลากหลายเป็นพิสัยกว้า,1,ไข้,,
101,ผู้ป่วยรู้สึกหนาว,1,ไข้,,
102,รู้สึกหนาว,1,ไข้,,
103,ตัวร้อน รู้สึกหนาว,1,ไข้,,
104,เป็นไข้ รู้สึกหนาว,1,ไข้,,
105,มีไข้ รู้สึกหนาว,1,ไข้,,
106,รู้สึกหนาว มีไข้,1,ไข้,,
107,มีไข้ ตัวร้อน รู้สึกหนาว,1,ไข้,,
108,หนาวและตัวร้อน,1,ไข้,,
109,หนาวและมีไข้,1,ไข้,,
110,อุณหภูมิร่างกายสูงขึ้น,1,ไข้,,
111,อุณหภูมิกายสูงจัด,1,ไข้,,
112,อุณหภูมิร่างกายสูงจัด,1,ไข้,,
113,ภาวะตัวร้อนเกิน,1,ไข้,,
114,ภาวะมีไข้,1,ไข้,,
115,ภาวะไข้สูง,1,ไข้,,
116,ไข้มักเกิดร่วมกับพฤติกรรมป่วย,1,ไข้,,
117,ผมมาหาหมอเพราะมีอาการตัวร้อน,1,ไข้,,
118,ผมมาหาหมอเพราะมีไข้,1,ไข้,,
119,ผมตัวร้อนมากเลยครับคุณหมอ,1,ไข้,,
120,เจ้าหุ่นยนต์ข้ามีไข้,1,ไข้,,
121,ผมมีอุณหภูมิร่างกายผิดปกติ,1,ไข้,,
122,เรามีภาวะต้วร้อนขึ้น,1,ไข้,,
123,ผมมีสถานะตัวร้อน,1,ไข้,,
124,ข้ามีสภาวะต้วร้อน,1,ไข้,,
125,กระผมมีสภาวะเป็นไข้ตัวร้อน,1,ไข้,,
126,อาการหนาวสะท้าน,1,ไข้,,
127,ร่างกายผมอุ่นๆ,1,ไข้,,
128,ร่างกายของเราร้อน,1,ไข้,,
129,ร่างกายของผมอุ่นๆร้อนๆ,1,ไข้,,
130,ร่างกายของกระผมมีอุณหภูมิเพิ่มขึ้น,1,ไข้,,
131,ร่างกายของฉันมีอุณหภูมิมากขึ้น,1,ไข้,,
132,ร่างกายร้อนมาก,1,ไข้,,
133,ร่างกายอุ่นมาก,1,ไข้,,
134,สภาพร่างกายร้อน,1,ไข้,,
135,ผมหนาวมาก ตัวร้อนด้วย,1,ไข้,,
136,ผมมีอาการหนาวสั่น บวกกับตัวร้อนมากเลยครับ,1,ไข้,,
137,มีอาการไข้ร้อน,1,ไข้,,
138,ผมเป็นไข้ครับ,1,ไข้,,
139,ผมเป็นไข้ตัวร้อนครับ,1,ไข้,,
140,ผมป่วยตัวร้อนครับ,1,ไข้,,
141,เราเป็นไข้ครับ,1,ไข้,,
142,เราเป็นไข้ตัวร้อนครับ,1,ไข้,,
143,กระผมป่วยตัวร้อนครับ,1,ไข้,,
144,ข้าเป็นไข้ครับ,1,ไข้,,
145,ข้าพเจ้าเป็นไข้ตัวร้อนครับ,1,ไข้,,
146,ดิฉันป่วยตัวร้อนครับ,1,ไข้,,
